X1011.gwas.imputed_v3.both_sexes.tsv.bgz X102_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X110001.gwas.imputed_v3.both_sexes.tsv.bgz X1150_1.gwas.imputed_v3.both_sexes.tsv.bgz X1180.gwas.imputed_v3.both_sexes.tsv.bgz X1190.gwas.imputed_v3.both_sexes.tsv.bgz X1210.gwas.imputed_v3.both_sexes.tsv.bgz X1339.gwas.imputed_v3.both_sexes.tsv.bgz X136.gwas.imputed_v3.both_sexes.tsv.bgz X1379.gwas.imputed_v3.both_sexes.tsv.bgz X1418_6.gwas.imputed_v3.both_sexes.tsv.bgz X1438_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X1468_3.gwas.imputed_v3.both_sexes.tsv.bgz X1468_5.gwas.imputed_v3.both_sexes.tsv.bgz X1498.gwas.imputed_v3.both_sexes.tsv.bgz X1508_3.gwas.imputed_v3.both_sexes.tsv.bgz X1518.gwas.imputed_v3.both_sexes.tsv.bgz X1538_1.gwas.imputed_v3.both_sexes.tsv.bgz X1538_2.gwas.imputed_v3.both_sexes.tsv.bgz X2000.gwas.imputed_v3.both_sexes.tsv.bgz X20002_1065.gwas.imputed_v3.both_sexes.tsv.bgz X20002_1074.gwas.imputed_v3.both_sexes.tsv.bgz X20002_1075.gwas.imputed_v3.both_sexes.tsv.bgz X20002_1094.gwas.imputed_v3.both_sexes.tsv.bgz X20002_1111.gwas.imputed_v3.both_sexes.tsv.bgz X20002_1138.gwas.imputed_v3.both_sexes.tsv.bgz X20002_1220.gwas.imputed_v3.both_sexes.tsv.bgz X20002_1226.gwas.imputed_v3.both_sexes.tsv.bgz X20002_1265.gwas.imputed_v3.both_sexes.tsv.bgz X20002_1286.gwas.imputed_v3.both_sexes.tsv.bgz X20002_1309.gwas.imputed_v3.both_sexes.tsv.bgz X20002_1387.gwas.imputed_v3.both_sexes.tsv.bgz X20002_1465.gwas.imputed_v3.both_sexes.tsv.bgz X20002_1473.gwas.imputed_v3.both_sexes.tsv.bgz X20002_1474.gwas.imputed_v3.both_sexes.tsv.bgz X20023_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X20107_1.gwas.imputed_v3.both_sexes.tsv.bgz X20118_11.gwas.imputed_v3.both_sexes.tsv.bgz X20160.gwas.imputed_v3.both_sexes.tsv.bgz X2020.gwas.imputed_v3.both_sexes.tsv.bgz X20489.gwas.imputed_v3.both_sexes.tsv.bgz X20517.gwas.imputed_v3.both_sexes.tsv.bgz X20544_15.gwas.imputed_v3.both_sexes.tsv.bgz X2188.gwas.imputed_v3.both_sexes.tsv.bgz X2395_1.gwas.imputed_v3.both_sexes.tsv.bgz X2395_2.gwas.imputed_v3.both_sexes.tsv.bgz X2644.gwas.imputed_v3.both_sexes.tsv.bgz X2664_5.gwas.imputed_v3.both_sexes.tsv.bgz X2714.gwas.imputed_v3.both_sexes.tsv.bgz X30030_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X30070_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X30090_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X30100_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X30150.gwas.imputed_v3.both_sexes.tsv.bgz X30180_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X30190_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X30220_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X30260_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X30280_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X30520_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X3143_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X3148_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X3581_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X3761_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X4080_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X4105_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X41215_0.gwas.imputed_v3.both_sexes.tsv.bgz X4124_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X46_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X4803_0.gwas.imputed_v3.both_sexes.tsv.bgz X4803_11.gwas.imputed_v3.both_sexes.tsv.bgz X5104_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X5108_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X5116_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X5119_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X5133_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X5134_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X5201_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X5254_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X5262_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X5265_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X5983_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X5984_irnt.gwas.imputed_v3.both_sexes.tsv.bgz X5993.gwas.imputed_v3.both_sexes.tsv.bgz X6138_6.gwas.imputed_v3.both_sexes.tsv.bgz X6141_1.gwas.imputed_v3.both_sexes.tsv.bgz X6145_1.gwas.imputed_v3.both_sexes.tsv.bgz X6149_3.gwas.imputed_v3.both_sexes.tsv.bgz X6155_7.gwas.imputed_v3.both_sexes.tsv.bgz X6160_5.gwas.imputed_v3.both_sexes.tsv.bgz X6164_4.gwas.imputed_v3.both_sexes.tsv.bgz X6177_1.gwas.imputed_v3.both_sexes.tsv.bgz X6177_100.gwas.imputed_v3.both_sexes.tsv.bgz X6177_2.gwas.imputed_v3.both_sexes.tsv.bgz X93_irnt.gwas.imputed_v3.both_sexes.tsv.bgz C3_BREAST_3.gwas.imputed_v3.both_sexes.tsv.bgz C3_MALE_GENITAL.gwas.imputed_v3.both_sexes.tsv.bgz C44.gwas.imputed_v3.both_sexes.tsv.bgz C50.gwas.imputed_v3.both_sexes.tsv.bgz CARDIAC_ARRHYTM.gwas.imputed_v3.both_sexes.tsv.bgz COX_ARTHROSIS.gwas.imputed_v3.both_sexes.tsv.bgz G6_NERPLEX.gwas.imputed_v3.both_sexes.tsv.bgz H7_LENS.gwas.imputed_v3.both_sexes.tsv.bgz I84.gwas.imputed_v3.both_sexes.tsv.bgz I9_IHD.gwas.imputed_v3.both_sexes.tsv.bgz K11_GALLBILPANC.gwas.imputed_v3.both_sexes.tsv.bgz K40.gwas.imputed_v3.both_sexes.tsv.bgz M13_HALLUXVALGUS.gwas.imputed_v3.both_sexes.tsv.bgz XIX_INJURY_POISON.gwas.imputed_v3.both_sexes.tsv.bgz
ENSG00000111644 1.20502 -0.48365 0.815883 -1.6859 -0.266296 -0.0131999 -0.00895328 0.100557 NA -0.198256 0.35112 -1.5619 -1.13216 -0.798823 0.703993 -0.0319002 -0.448181 0.0646826 -1.63242 0.824603 -2.4692 0.643471 2.2219 -1.21557 -1.0628 0.575444 -0.591963 -2.84148 0.902361 -0.281786 0.628519 -0.614213 0.193878 -2.15884 0.0132285 -0.605562 -1.61866 -0.863019 0.665475 -0.147463 -0.99646 0.374333 -0.829168 -2.01545 -0.563821 -2.77926 0.00470142 0.0276605 0.824942 0.739261 1.59826 -8.33182 27.7815 NA -3.63675 0.207356 NA -3.48294 0.61477 NA -2.70798 1.80394 1.10145 1.37328 0.136612 -0.153485 -0.240566 0.531911 -2.22108 0.198137 -1.2525 -0.136251 -1.02775 0.154075 0.584624 NA -0.122219 -0.951535 -1.01171 -2.05652 -1.04307 0.528576 -0.790361 -2.19758 -0.0193739 NA -1.48945 0.866316 NA 1.48825 -0.414635 -1.37931 0.19219 0.200452 0.71013 0.470601 0.386614 NA NA NA -0.611032 -1.87946 NA -0.218868 1.20583 0.569341 0.415212 -0.516315 0.498233
ENSG00000111647 0.633091 -1.10143 -1.99871 -1.63577 -0.0305106 -0.746867 -1.73921 0.329355 1.37363 0.30446 0.696943 -0.408 -0.561714 -1.37783 0.18384 0.419343 -2.52997 -0.784441 -0.468163 2.76896 0.431959 -4.18468 -1.07104 2.17073 -2.06415 0.147259 0.736803 2.56069 -0.874404 -1.97882 2.03245 0.194439 1.02549 1.06617 0.673174 0.0146564 -0.479389 -1.47409 NA 0.178482 0.254836 -0.0776395 -0.423879 0.378448 1.38304 0.555415 1.52175 -0.78526 0.110962 NA 1.37974 3.48487 0.193617 1.55211 -0.308011 NA 1.58924 -2.16987 -0.997955 1.76817 NA -1.17525 -0.726499 -1.29503 1.9952 0.366386 0.553398 -0.412 -0.0865286 1.39805 -1.68749 -0.161599 -1.51305 0.516092 -0.295024 -1.48146 NA 0.461612 -0.830432 -0.209415 -0.517051 1.46313 -1.90918 -1.56947 -0.223027 0.904089 -1.07581 -1.39492 0.71436 -1.63645 -0.434833 -0.370877 -0.529927 0.776826 0.173077 2.40058 0.784234 0.66139 1.55323 NA NA -2.19824 -0.790166 0.649758 -2.09162 0.0110611 -0.432021 NA 0.572649
ENSG00000111664 -0.46949 -1.94365 -2.56042 -0.211209 -1.88235 -2.6281 0.26497 -2.07729 NA 0.463417 0.414293 -0.407729 1.9548 -0.608128 1.12031 -0.586667 1.33073 -2.2384 0.510861 -0.940662 -0.771495 0.798145 -0.228619 0.666403 1.11026 -0.335769 -1.21046 -1.0123 -0.66884 -0.192543 0.984305 0.658799 0.110475 0.0913114 -1.00207 0.538949 -1.77043 2.15484 -0.576624 -0.970771 -0.271652 -0.32559 -0.76861 -0.477287 -0.237426 -0.830561 -0.268824 -0.986868 -1.74399 -1.4752 NA -0.607773 2.24935 -1.95089 2.52731 NA 0.280602 -0.39206 -0.708099 0.183322 0.779143 0.406531 0.112496 0.408303 -0.707 0.19558 0.538319 -0.846662 -0.457496 -0.429587 0.0707076 1.93766 0.451385 0.664149 1.5048 -0.864968 NA -0.584058 -0.101282 0.757757 -0.522606 -2.33703 -0.524777 -0.998819 0.600739 NA NA 0.367542 -0.946518 0.613324 -2.0677 0.0123125 -0.645478 0.32841 0.52377 -0.280072 -0.297726 1.53458 -0.292494 -0.906046 1.06557 -1.09778 -0.119619 0.597688 -0.249833 -0.530768 -1.00063 NA 0.119949
ENSG00000111666 0.721783 -1.11876 1.58091 0.273601 -2.66479 1.61431 0.355015 2.33741 -0.942687 0.855702 1.37823 -2.69602 -0.699631 -1.96813 -1.31073 0.834858 0.757961 0.778058 -1.2774 1.93549 0.852027 0.327313 -0.28711 -1.73486 0.0226698 1.48659 -0.179649 -0.191949 -0.436759 -0.599227 0.519828 0.953444 -2.33187 0.711109 -0.564831 0.862116 0.684544 -0.619577 -0.794423 -1.37392 -0.246063 1.22402 2.26663 -1.44777 NA 0.718298 0.10803 -0.0049805 -0.336404 -0.839493 NA 1.14043 -2.36008 3.53996 0.309528 0.563471 0.294995 -0.462011 -1.84734 -1.1349 -2.87423 0.345646 0.816012 -0.342081 1.3736 2.80292 -1.03767 2.49648 -0.194359 NA -2.12246 -0.140151 0.862986 0.240203 0.0980967 NA -0.0252548 1.99681 0.739569 0.3591 NA 0.764606 NA 0.259215 1.46808 -0.213704 0.201175 1.37482 1.88632 -0.030329 -0.409045 -0.036102 -0.806205 0.415045 1.27987 0.932875 1.08879 NA 1.16602 0.499067 NA -0.794734 0.22768 -1.93467 -1.41201 NA 1.07209 -1.42824 -0.177119
ENSG00000111670 -1.07913 0.130469 0.127343 -0.512538 -0.441558 -0.433588 -0.755685 1.04069 0.167675 -0.72891 0.110177 1.97374 -1.28971 -0.724261 -0.228454 -0.0753583 0.566403 1.2408 0.657913 -1.88507 -1.47858 -0.499585 -0.0158501 -1.12192 0.0264459 0.664692 -0.591058 2.59603 1.66016 -1.11246 -0.440364 0.15986 1.64601 0.691566 -0.980022 -0.641056 -0.0313728 0.562755 NA NA NA -1.50193 -3.01935 0.372982 -1.29863 0.110744 1.42416 -1.41533 -0.774659 -1.21908 NA -0.773735 NA NA 2.67813 NA -0.0256329 -1.67814 0.925394 -0.125003 -2.97989 -0.304636 1.45566 -0.504593 -0.940757 -0.487961 -0.0229093 -0.37119 -0.0694557 -0.0975991 1.71845 0.292946 0.365333 0.242141 0.471357 NA 1.12689 -0.158878 -0.465516 -1.28128 -0.575699 0.535915 -1.16274 -0.620325 -1.33756 -0.82811 -0.0618735 0.52163 0.206129 -1.20107 0.159786 -0.29479 1.00749 -1.19509 0.0910273 NA 1.01878 -0.384122 -1.06666 -0.77767 0.80082 1.34761 1.01246 NA -0.726871 NA 0.158251 0.762865 -0.471386
ENSG00000111674 0.870919 -0.869173 0.259566 1.97242 -1.77649 -1.74108 0.126851 -0.788994 -1.03356 -0.645101 0.0949688 -1.25795 2.45684 -2.6784 1.10784 5.07962 -0.961342 -0.116467 1.78031 -1.84874 -2.88355 -1.40479 -2.6907 1.41425 1.50337 -0.352603 -2.28158 -0.102171 -0.0958014 -1.87251 -1.2051 1.2435 0.182183 -0.328992 1.28564 -3.82749 -0.800355 -0.952579 0.61614 -1.98381 1.48121 0.0926417 -0.475161 0.169072 0.359381 1.3181 -1.53769 2.10892 1.64072 -4.6271 -0.826574 NA NA -1.53309 -0.667449 5.10066 1.48035 4.03437 -2.23717 -0.0289474 4.62341 -4.11304 3.26623 0.399285 0.14495 NA -1.98225 -0.734514 3.53951 -0.440838 0.441892 -0.34086 0.354576 2.90437 0.90366 -2.64136 -2.47673 -1.36541 1.98078 0.970449 1.25692 1.16036 0.858724 NA 2.17188 -0.443029 -1.26747 NA 3.01937 0.635346 1.87579 0.698287 1.18276 -2.04307 -1.67369 -1.34746 -3.3029 -0.719207 -1.30561 1.00588 2.26556 -0.543857 -1.76662 -0.595814 -1.57129 NA -0.765827 -1.24802 -0.645663
ENSG00000111678 0.14472 -3.07918 0.377714 -0.94798 -2.45947 NA 2.68747 0.778873 NA -0.799784 0.72619 0.0455524 -0.315193 0.132098 0.741951 0.700897 1.41681 -1.32458 -0.220152 -1.90179 -0.867064 -0.0581086 -0.700861 0.324436 0.40389 -0.20846 -0.00469668 -1.81973 -0.0419086 -1.6028 -1.42003 -2.28288 0.304775 0.347776 -1.97407 1.75718 0.17844 0.511685 0.1585 0.128768 1.20462 -0.39831 -0.268227 -0.924445 0.665348 -0.47491 0.45362 -0.752917 2.08031 -1.27437 NA 0.212695 1.85793 -0.430806 NA -0.294691 0.526036 -0.683511 1.99103 NA -1.73628 -1.67512 0.0175556 1.25804 -1.16507 -1.73779 -0.109149 -2.17075 0.0247042 -0.0642968 -0.974353 0.999604 1.07084 -1.31909 -0.0917703 1.39053 NA NA -0.919236 -0.570817 NA -1.55349 0.273817 NA 1.44465 -0.222504 -0.62991 -0.337472 -0.633323 0.502663 NA -0.975045 0.534584 -0.0340913 -0.648788 0.64924 -0.385641 NA 1.50002 -0.334081 -0.745396 -0.0182616 0.806313 -0.601453 1.23455 -0.705373 NA -0.977637 -1.25464
ENSG00000111696 -1.14991 -0.0926119 0.698491 0.820823 0.802917 -0.86123 0.0645129 -0.385922 2.4718 0.838714 -0.404893 2.24606 -0.0213794 0.944776 1.50259 -0.162653 1.37671 1.51291 -2.08139 -0.12521 -1.05 -1.97311 -0.292603 -0.73597 -1.06347 -0.730706 0.266884 0.911818 -1.07318 -0.732659 -0.991444 0.494738 0.0589099 -0.882019 1.06945 1.1083 -0.7387 -1.72086 0.913481 -1.99879 0.69528 -0.45387 0.323627 -0.906317 -2.02748 1.60111 -0.274073 0.421903 -0.331614 1.18895 -0.759464 -0.320925 -0.135553 -0.82578 0.315857 -0.58245 -0.5075 0.103076 NA -0.14327 NA -1.59674 -0.309795 3.0561 0.125867 NA -0.825723 -0.613307 0.1988 0.88278 -0.495792 -1.41018 0.361652 -1.62148 -1.416 -0.172473 -0.0371685 0.899701 -2.12133 -2.30835 1.4505 -2.80642 1.15365 1.55395 NA 0.154123 1.72091 0.468363 0.0505541 -1.09368 NA -0.622272 0.984918 -1.37539 -1.14882 -0.688038 -0.11611 -0.0742818 -0.226265 0.400303 NA -0.940514 -1.1674 0.147738 -0.117287 0.14082 -0.706621 0.818524 -1.53394
ENSG00000111707 0.547586 -2.69761 -0.594985 0.821044 -2.94666 -8.14441 -4.09636 -0.352831 NA -3.66765 1.45116 0.408965 -1.83801 3.8848 1.39083 -1.89868 -2.57566 -0.138753 0.774267 5.34031 -2.08435 0.327001 -0.108313 1.11324 -0.858609 -1.84015 -0.180667 1.85578 -0.928689 2.43782 0.784433 0.165909 0.891726 -0.314355 -0.504997 1.32027 0.969703 2.05899 -2.70179 4.95748 -0.101718 -0.202252 -0.911678 0.678911 7.71559 3.51852 -1.10271 -1.52534 2.52069 8.39716 8.09191 -1.49796 -7.54817 -6.57505 -6.19984 NA -0.446851 -6.6683 2.74859 0.335632 -0.103882 -4.09307 -3.83762 1.82992 -2.36543 -1.81277 -0.192211 -2.09802 -5.69235 -0.970215 1.25024 -0.346151 1.75718 -0.532278 0.501147 NA -1.83013 2.20256 3.45551 3.02119 2.06701 -2.18506 0.163748 0.158236 -2.50103 1.86989 0.482451 2.38394 2.06319 0.167347 -1.85023 0.164956 0.770742 -1.47284 -1.5672 -1.81448 -1.05883 -0.270329 -1.49349 0.593936 0.712481 1.24296 -0.0901944 3.068 NA 0.308323 2.29643 1.74052 1.75212
ENSG00000111711 0.270558 -0.171305 0.788137 0.764946 -0.646332 0.5015 0.486801 -0.00758296 NA -1.46136 -0.725919 0.216646 -0.113902 -0.427066 0.755986 2.19672 1.63633 1.46506 1.68756 0.371027 0.790344 2.46114 2.25395 1.32454 -0.578681 0.0713778 -0.363129 -0.138455 2.69545 -0.966839 1.29692 1.89834 0.932092 2.70849 1.53808 -1.78093 2.53007 0.663973 1.08762 1.63413 0.110406 1.24556 NA 3.22814 -0.397098 NA 0.248561 -0.546439 -1.36395 NA 3.00284 4.42983 -4.94488 -1.48861 -3.26029 -0.974592 0.611627 -3.06081 0.0819745 0.7153 -1.73614 -0.349774 2.92546 1.17217 3.19218 -1.27267 -1.79316 -0.421414 -0.272988 1.77492 -2.67389 1.47928 0.827273 -0.564725 -0.900648 -0.808395 0.239194 -0.211912 NA -2.7159 0.522279 1.21739 -0.835153 -0.729993 0.434339 0.999608 NA 0.464626 -2.37058 0.138877 0.135303 0.864744 -0.732284 0.983256 NA 1.60381 0.629447 -1.82624 1.34773 NA -1.03052 1.00693 0.25797 -0.31421 2.49939 0.4358 0.0502211 -0.895073 0.840381
